Date,Category,Amount,Status
2025-07-01,Platform Subscriptions,12009.00,Paid
2025-07-03,Holding Fee,5000.00,Paid
2025-07-05,Marketing,4200.00,Paid
2025-07-08,Agency Fee 1,25000.00,Paid
2025-07-10,Gifts,180.50,Paid
2025-07-12,Operation Fee,650.00,Paid
2025-07-15,Commission Fee,3000.00,Paid
2025-07-18,Agency Fee 2,25000.00,Paid
2025-07-22, Gifts,240.00,Paid
2025-07-26,Agency Fee 1,25000.00,Paid
2025-07-28,Operation Fee,420.00,Paid
2025-07-31,Payroll,38000.00,Paid
2025-08-01,Platform Subscriptions,6853.00,Paid
2025-08-04,Holding Fee,5000.00,Paid
2025-08-07, Gifts,120.00,Paid
2025-08-10,Agency Fee 1,25000.00,Paid
2025-08-14,Marketing,2800.00,Paid
2025-08-18,Commission Fee,1500.00,Paid
2025-08-20,Agency Fee 2,25000.00,Paid
2025-08-25,Holding Fee,5000.00,Paid
2025-08-28,Operation Fee,780.00,Paid
2025-08-31,Payroll,38000.00,Paid
2025-09-01,Platform Subscriptions,7590.00,Paid
2025-09-03,Holding Fee,5000.00,Paid
2025-09-05,Marketing,5500.00,Paid
2025-09-09,Gifts,310.00,Paid
2025-09-12,Agency Fee 1,25000.00,Paid
2025-09-16,Agency Fee 2,25000.00,Paid
2025-09-21,Commission Fee,4500.00,Paid
2025-09-25,Gifts,150.00,Paid
2025-09-28,Operation Fee,540.00,Paid
2025-09-30,Payroll,38000.00,Paid
2025-10-01,Platform Subscriptions,6250.00,Paid
2025-10-05,Holding Fee,5000.00,Paid
2025-10-08,Agency Fee 1,25000.00,Paid
2025-10-12,Marketing,1200.00,Paid
2025-10-15,Gifts,450.00,Paid
2025-10-18,Agency Fee 2,25000.00,Paid
2025-10-22,Holding Fee,5000.00,Paid
2025-10-26,Commission Fee,2000.00,Paid
2025-10-29,Operation Fee,920.00,Paid
2025-10-31,Payroll,38000.00,Paid
2025-11-01,Platform Subscriptions,8500.00,Paid
2025-11-06,Marketing,8000.00,Paid
2025-11-10,Agency Fee 1,25000.00,Paid
2025-11-14,Gifts,280.00,Paid
2025-11-18,Agency Fee 2,25000.00,Paid
2025-11-22,Holding Fee,5000.00,Paid
2025-11-25,Operation Fee,610.00,Paid
2025-11-28,Gifts,190.00,Paid
2025-11-30,Payroll,38000.00,Paid
2025-12-01,Platform Subscriptions,8500.00,Paid
2025-12-03,Holding Fee,5000.00,Paid
2025-12-08,Agency Fee 1,25000.00,Paid
2025-12-12,Marketing,3500.00,Paid
2025-12-15,Commission Fee,3000.00,Paid
2025-12-18,Agency Fee 2,25000.00,Paid
2025-12-22,Gifts,850.00,Paid
2025-12-26,Operation Fee,1100.00,Paid
2025-12-29,Holding Fee,5000.00,Paid
2025-12-31,Payroll,45000.00,Paid
